BIN	GENEID	HALFLIFE
8	ENSG00000007372	-1.25979731500426
10	ENSG00000007376	-0.485264707164024
6	ENSG00000007384	0.788367211808038
6	ENSG00000007392	-0.360804746695993
2	ENSG00000007516	0.964914626609865
5	ENSG00000007520	0.819943892867484
1	ENSG00000007541	1.19939071663924
10	ENSG00000007545	-0.917969917084554
2	ENSG00000007866	-0.378701311058971
7	ENSG00000007923	0.405666510181491
5	ENSG00000007944	-2.09657191354094
3	ENSG00000007968	-1.17453364634694
4	ENSG00000008018	1.21525551384602
1	ENSG00000008056	0.514029220259643
10	ENSG00000008083	-1.31256966017623
2	ENSG00000008086	-1.22405434009388
2	ENSG00000008128	0.45879749215455
4	ENSG00000008130	0.584807870975527
3	ENSG00000008256	-0.280343488602865
1	ENSG00000008277	0.207914381702382
9	ENSG00000008282	0.687859866665519
8	ENSG00000008283	0.472909015723775
7	ENSG00000008294	0.278092457044258
6	ENSG00000008300	-0.0691274937643865
2	ENSG00000008311	0.976986283471075
6	ENSG00000008323	-0.676377928130217
9	ENSG00000008324	-0.927317575594041
4	ENSG00000008394	2.11014614779212
7	ENSG00000008405	0.00347504037788622
5	ENSG00000008441	0.125547123393148
9	ENSG00000008513	-1.88388995847024
3	ENSG00000008516	0.526690573704021
7	ENSG00000008517	1.18398822105837
4	ENSG00000008710	0.366791767655087
5	ENSG00000008735	0.888165289672002
7	ENSG00000008838	1.0492259685781
5	ENSG00000008853	-0.766464670820202
2	ENSG00000008869	-0.349842451797206
5	ENSG00000008952	0.0183669630903664
8	ENSG00000008988	2.24681401890115
7	ENSG00000009307	1.63757428300393
3	ENSG00000009335	-0.101193953635277
3	ENSG00000009413	-1.20541849924025
8	ENSG00000009694	0.126843992517768
9	ENSG00000009709	-0.372340838805658
6	ENSG00000009780	-0.33917684391827
10	ENSG00000009790	-1.82577595020346
10	ENSG00000009830	0.804252057127677
10	ENSG00000009844	0.431431391428213
6	ENSG00000009950	0.799962294095723
7	ENSG00000009954	-0.574399124159601
9	ENSG00000010017	-0.213096829042402
4	ENSG00000010072	-1.28217208727585
6	ENSG00000010165	-0.563744054453719
1	ENSG00000010219	0.801862508030935
7	ENSG00000010244	-0.138539022896618
6	ENSG00000010256	1.6665397756882
10	ENSG00000010270	0.598433552105184
1	ENSG00000010278	1.65756546953456
2	ENSG00000010282	-1.22550177880712
8	ENSG00000010292	0.903387044180277
5	ENSG00000010295	-0.147672909683474
7	ENSG00000010310	0.652802639287085
9	ENSG00000010318	0.428621845078855
9	ENSG00000010322	0.302718171480669
8	ENSG00000010327	-0.919707750325359
3	ENSG00000010361	1.26114861462945
8	ENSG00000010404	1.72051933547167
8	ENSG00000010539	-1.8156998771684
10	ENSG00000010626	1.28495485113565
9	ENSG00000010671	1.56885910982347
10	ENSG00000010704	0.472479210979521
5	ENSG00000010810	-0.0858143791738309
1	ENSG00000010818	-1.81238957395779
10	ENSG00000011007	-0.362857728417022
6	ENSG00000011009	0.871712201901942
8	ENSG00000011028	1.07472098280671
7	ENSG00000011052	1.23647641723776
6	ENSG00000011083	0.849693416939267
5	ENSG00000011105	0.588450540346485
10	ENSG00000011114	-1.09426032922759
3	ENSG00000011132	-0.0989343292696492
8	ENSG00000011143	0.58026210320575
5	ENSG00000011198	-0.549968137151244
6	ENSG00000011201	0.255303926827946
1	ENSG00000011243	0.246845413426071
5	ENSG00000011258	-0.551667244603065
6	ENSG00000011260	-0.165054001775333
9	ENSG00000011275	-0.68387688852103
7	ENSG00000011295	0.6216446817287
1	ENSG00000011304	0.411616427796378
9	ENSG00000011332	-0.371239276271671
2	ENSG00000011376	0.249165246085291
1	ENSG00000011422	-0.328438896787398
8	ENSG00000011426	-0.0665688359072036
2	ENSG00000011451	0.545199213751363
1	ENSG00000011454	-0.286868401694444
10	ENSG00000011478	0.87950057226132
5	ENSG00000011485	1.12043425407482
1	ENSG00000011523	-0.825792997153818
9	ENSG00000011566	-0.867771566181254
4	ENSG00000011590	-0.569469906367866
3	ENSG00000011600	0.487306790129059
8	ENSG00000011638	0.325210925456731
5	ENSG00000011677	0.961396971862409
7	ENSG00000012048	0.110614461880191
4	ENSG00000012061	1.0754591505401
10	ENSG00000012124	0.359550925316395
9	ENSG00000012171	1.8189080499645
5	ENSG00000012174	0.240570072703345
9	ENSG00000012211	-0.894125827690935
10	ENSG00000012232	-0.533848819367675
2	ENSG00000012660	0.432583677416452
6	ENSG00000012779	2.00079061782397
8	ENSG00000012822	1.6476151217503
10	ENSG00000012963	0.35158222848595
1	ENSG00000012983	-0.207499938249633
4	ENSG00000013016	-0.0277159617941715
6	ENSG00000013275	1.11657658564689
1	ENSG00000013288	1.50239065440883
7	ENSG00000013297	-0.88425791934566
10	ENSG00000013306	3.08189027099525
5	ENSG00000013364	0.980502745244692
7	ENSG00000013374	0.731650510914182
4	ENSG00000013375	0.220106134691212
8	ENSG00000013392	-1.74469870265005
8	ENSG00000013441	-2.36128218315734
6	ENSG00000013503	-0.910833502361081
10	ENSG00000013523	0.359698101699663
6	ENSG00000013561	0.00128377144237672
1	ENSG00000013563	1.44671056977444
7	ENSG00000013573	0.319202775137744
7	ENSG00000013583	0.533330039647777
8	ENSG00000013588	-0.809488525019376
8	ENSG00000013619	-0.62153615151314
4	ENSG00000013725	0.309200697263376
7	ENSG00000013810	0.184632227859972
4	ENSG00000014123	-0.141727310266097
10	ENSG00000014138	-0.0553090592607593
10	ENSG00000014164	-0.714284260500743
10	ENSG00000014216	1.80120009740938
2	ENSG00000014641	2.2354282413378
5	ENSG00000014824	1.19052940563624
3	ENSG00000014914	-0.263616417878379
7	ENSG00000014919	1.11551074682968
3	ENSG00000015133	-0.994469370693547
2	ENSG00000015153	-0.27231688506919
5	ENSG00000015171	0.0085230358093529
4	ENSG00000015285	0.559346729362162
7	ENSG00000015413	1.20058262531848
1	ENSG00000015475	1.16577649385909
2	ENSG00000015479	1.07020164035159
2	ENSG00000015532	-0.634107201895008
3	ENSG00000015676	0.205266790219403
1	ENSG00000016082	-2.46906496592012
1	ENSG00000016391	-0.0537861957613807
4	ENSG00000016864	0.224226752137459
8	ENSG00000017260	0.971615963318726
6	ENSG00000017427	1.04860489711867
4	ENSG00000017483	1.46824337805833
8	ENSG00000017797	0.567102400136082
8	ENSG00000018189	0.467156309426811
4	ENSG00000018236	0.995721276096015
6	ENSG00000018280	0.877704482950028
4	ENSG00000018408	-0.426266256328348
2	ENSG00000018510	0.440845805414864
1	ENSG00000018610	0.302974250329476
7	ENSG00000018699	0.120105123536745
2	ENSG00000018869	-0.773525604100839
1	ENSG00000019102	-0.204034212840022
9	ENSG00000019144	-0.100821169436211
5	ENSG00000019169	0.0397376507546714
8	ENSG00000019485	-1.03704913201949
9	ENSG00000019549	-2.7135322820198
8	ENSG00000019995	-1.3239117142647
10	ENSG00000020129	0.538462857098282
8	ENSG00000020181	0.367461541967968
7	ENSG00000020256	-1.24530739302303
8	ENSG00000020426	0.0129779651969503
3	ENSG00000020577	-0.770914185655721
3	ENSG00000020633	-0.914464885967173
1	ENSG00000020922	0.611455566873558
4	ENSG00000021355	0.632982282582745
3	ENSG00000021574	-0.185759531960861
6	ENSG00000021645	-0.316884924193617
7	ENSG00000021762	0.171877568319245
10	ENSG00000021776	0.11379306095799
5	ENSG00000021826	1.68030816158231
1	ENSG00000022267	1.74690721674541
6	ENSG00000022277	1.22609934343761
4	ENSG00000022556	0.400538668523014
5	ENSG00000022976	-0.710418686579241
1	ENSG00000023041	0.0887398560768006
3	ENSG00000023171	-1.18163507315679
7	ENSG00000023191	0.818412908333135
2	ENSG00000023228	1.23173871265962
8	ENSG00000023287	0.0185841342179452
3	ENSG00000023318	0.823749365084069
4	ENSG00000023330	-0.472706970980116
6	ENSG00000023445	-0.979164983373366
3	ENSG00000023516	-0.0777890146460202
7	ENSG00000023572	0.0583135109283722
10	ENSG00000023608	-0.884512842917283
6	ENSG00000023697	1.16678991609713
10	ENSG00000023734	1.25550838004421
1	ENSG00000023839	-0.158385869682073
5	ENSG00000023902	-0.732574816413825
1	ENSG00000023909	-0.216613164877059
5	ENSG00000024048	-0.445822552183035
6	ENSG00000024422	0.844411270767542
1	ENSG00000024526	-0.222026668965628
6	ENSG00000024862	0.535472414042475
5	ENSG00000025039	0.0348829508445904
1	ENSG00000025156	-1.40328816129122
10	ENSG00000025293	-0.823372056360611
10	ENSG00000025423	0.22722103830378
4	ENSG00000025434	0.556496141443905
1	ENSG00000025708	0.340190976350055
10	ENSG00000025770	1.01068784003947
3	ENSG00000025772	0.982191310405719
5	ENSG00000025796	0.86898904567717
8	ENSG00000025800	-0.279666949681685
9	ENSG00000026025	1.36158164391204
2	ENSG00000026103	-0.650366373183471
2	ENSG00000026297	1.79766881201741
2	ENSG00000026508	0.865043190582281
2	ENSG00000026559	-0.436547738725265
6	ENSG00000026652	-0.26364302407572
9	ENSG00000026751	-0.228146998767571
2	ENSG00000026950	0.0200199325767219
7	ENSG00000027001	1.46274177230295
1	ENSG00000027075	-0.697663457038916
5	ENSG00000027644	0.00419577931419039
10	ENSG00000027697	-0.611201138204727
4	ENSG00000027847	0.611228191957409
5	ENSG00000027869	0.128987532909262
7	ENSG00000028116	0.0403722245223233
4	ENSG00000028137	-0.268479715090667
5	ENSG00000028203	0.0462464029772464
4	ENSG00000028310	-0.0519226243009634
7	ENSG00000028528	0.663843135190241
8	ENSG00000028839	-1.11795590526667
2	ENSG00000029153	0.345859954374974
10	ENSG00000029363	0.148043957393857
2	ENSG00000029364	0.222340452392598
8	ENSG00000029534	0.0600349709362978
3	ENSG00000029639	-0.424169537979812
9	ENSG00000029725	0.245252867739842
10	ENSG00000029993	0.721536660229407
6	ENSG00000030066	-0.098260719102501
5	ENSG00000030110	0.0205355193105944
5	ENSG00000030419	-1.6660647049568
5	ENSG00000030582	2.15429951434365
3	ENSG00000031003	-0.158713619813704
9	ENSG00000031081	-1.13900682909386
9	ENSG00000031691	-0.486719180003871
10	ENSG00000031698	0.731091569340901
10	ENSG00000031823	-0.199291271398143
6	ENSG00000032219	-1.3046466047675
7	ENSG00000032389	0.45836877372413
2	ENSG00000032444	1.43855723497663
8	ENSG00000032742	0.0916887961084185
8	ENSG00000033011	0.438526498269078
1	ENSG00000033030	-1.30856061222086
2	ENSG00000033050	0.849517569859759
7	ENSG00000033100	-0.585682434252529
4	ENSG00000033122	0.302318964664271
7	ENSG00000033170	-0.181278140750423
6	ENSG00000033178	0.32398292359073
3	ENSG00000033327	-0.747607103821073
10	ENSG00000033627	0.719626290207843
3	ENSG00000033800	-1.59652125221205
1	ENSG00000033867	-0.133016382480997
5	ENSG00000034053	0.450941611703182
1	ENSG00000034152	-0.262160056352145
3	ENSG00000034510	2.11074008003582
6	ENSG00000034533	-1.93695318460408
9	ENSG00000034677	-1.64142543970565
3	ENSG00000034693	0.537264964324871
5	ENSG00000034713	1.30439418954714
10	ENSG00000035115	0.0462204796836008
1	ENSG00000035141	0.944021564803491
10	ENSG00000035403	0.798117908163444
5	ENSG00000035499	0.682273214912444
9	ENSG00000035664	0.00593579661363565
8	ENSG00000035681	-0.0350806842576129
6	ENSG00000035687	0.0955967606668248
7	ENSG00000035720	1.10081068997301
6	ENSG00000035862	1.05734951407
10	ENSG00000035928	-0.166666615680003
7	ENSG00000036257	-0.378369051383922
3	ENSG00000036448	0.0558298991820622
3	ENSG00000036530	-0.201980531619725
3	ENSG00000036549	-1.09039657145569
9	ENSG00000036672	-1.84777638336096
7	ENSG00000037042	0.13347055901395
8	ENSG00000037241	1.02313378611772
10	ENSG00000037280	0.460967030914856
8	ENSG00000037474	0.206153391261155
