BIN	GENEID	HALFLIFE
7	ENSMUSG00000000001	0.236559462713687
1	ENSMUSG00000000028	-0.426484231165475
2	ENSMUSG00000000037	1.41234811688217
7	ENSMUSG00000000056	-0.393617069130085
5	ENSMUSG00000000058	0.35788463613874
7	ENSMUSG00000000078	-2.62325814727732
4	ENSMUSG00000000085	-0.974369299685928
2	ENSMUSG00000000088	1.50403461159252
2	ENSMUSG00000000093	-0.716548024828387
9	ENSMUSG00000000094	-0.116575116996018
8	ENSMUSG00000000120	1.31497485181497
9	ENSMUSG00000000125	-0.767900499876909
6	ENSMUSG00000000126	-0.698715529334045
7	ENSMUSG00000000127	0.315702588435603
4	ENSMUSG00000000131	-0.388904315361095
1	ENSMUSG00000000134	-0.345070493098469
9	ENSMUSG00000000142	-2.5135927566718
4	ENSMUSG00000000148	-1.19207187141392
1	ENSMUSG00000000149	0.0215185504008513
8	ENSMUSG00000000154	0.835941028682103
10	ENSMUSG00000000168	0.950186529919877
4	ENSMUSG00000000171	1.09129174303989
10	ENSMUSG00000000184	0.122827093687717
4	ENSMUSG00000000194	0.172334815791695
2	ENSMUSG00000000204	-0.419010041807494
3	ENSMUSG00000000214	1.15724783542649
1	ENSMUSG00000000215	0.734110000130941
10	ENSMUSG00000000223	0.469073982048866
6	ENSMUSG00000000244	0.518493876578354
10	ENSMUSG00000000247	-0.055722206237948
9	ENSMUSG00000000253	0.683718587895528
5	ENSMUSG00000000263	0.573260446408469
7	ENSMUSG00000000266	-0.319314715159702
10	ENSMUSG00000000275	-1.00478711002583
1	ENSMUSG00000000276	-1.14012597837111
9	ENSMUSG00000000278	1.34687995620285
4	ENSMUSG00000000282	-1.34727098166766
7	ENSMUSG00000000290	-0.782920144662475
4	ENSMUSG00000000295	0.890980576750623
4	ENSMUSG00000000296	1.33695346348742
10	ENSMUSG00000000301	1.48450567835489
10	ENSMUSG00000000303	0.526486142898711
5	ENSMUSG00000000305	0.567514128158909
5	ENSMUSG00000000308	0.517756575024084
10	ENSMUSG00000000317	-0.980192315982851
3	ENSMUSG00000000318	1.4753076780891
3	ENSMUSG00000000320	-0.0893222867482849
4	ENSMUSG00000000326	0.277170343853887
1	ENSMUSG00000000339	0.463684203259965
5	ENSMUSG00000000340	0.461807465695043
9	ENSMUSG00000000346	0.385291715840416
9	ENSMUSG00000000355	0.93555883174444
5	ENSMUSG00000000359	-0.588577815981747
4	ENSMUSG00000000374	-0.263339127215448
6	ENSMUSG00000000378	-0.747853437142179
4	ENSMUSG00000000381	-0.26467195893796
5	ENSMUSG00000000384	-0.369190106825201
4	ENSMUSG00000000385	0.838897659063352
4	ENSMUSG00000000399	1.5948388171697
3	ENSMUSG00000000402	0.072389225580062
6	ENSMUSG00000000409	0.0792642050473743
3	ENSMUSG00000000416	-0.591996377262286
10	ENSMUSG00000000420	0.43479226475424
7	ENSMUSG00000000439	-0.283757654136661
1	ENSMUSG00000000440	-0.670695852480396
7	ENSMUSG00000000441	-0.465311419807074
6	ENSMUSG00000000489	-1.8972276252518
8	ENSMUSG00000000530	1.3712010051495
1	ENSMUSG00000000531	-0.338506705968627
9	ENSMUSG00000000532	-1.24605271777109
6	ENSMUSG00000000538	-0.140316461193424
3	ENSMUSG00000000544	0.775435993317965
1	ENSMUSG00000000552	-0.341642567244245
4	ENSMUSG00000000555	-1.06779366628961
8	ENSMUSG00000000561	-0.0936726601121913
9	ENSMUSG00000000563	1.06166747791812
9	ENSMUSG00000000567	-1.84975685983413
9	ENSMUSG00000000568	0.602804883161412
7	ENSMUSG00000000581	0.650646389671096
8	ENSMUSG00000000594	0.995711934602537
4	ENSMUSG00000000600	-0.216124143035067
9	ENSMUSG00000000605	0.355421405435092
3	ENSMUSG00000000617	0.0841077359841964
1	ENSMUSG00000000627	1.27820422856298
8	ENSMUSG00000000628	-1.39677434382161
5	ENSMUSG00000000631	0.399021408652353
4	ENSMUSG00000000632	-0.0862994468926448
8	ENSMUSG00000000673	1.00930659892678
4	ENSMUSG00000000682	1.13601160233837
9	ENSMUSG00000000686	-1.0742218307963
1	ENSMUSG00000000690	0.455807070591495
2	ENSMUSG00000000693	1.08672145904684
5	ENSMUSG00000000706	0.693454432804454
1	ENSMUSG00000000708	0.699489583159284
6	ENSMUSG00000000711	0.544410553464757
5	ENSMUSG00000000730	0.477071586308278
2	ENSMUSG00000000731	1.33152135874736
10	ENSMUSG00000000732	0.603774499305591
4	ENSMUSG00000000738	1.03775953278654
1	ENSMUSG00000000739	1.20079380867774
1	ENSMUSG00000000740	1.44027893368584
2	ENSMUSG00000000743	0.618578946518564
1	ENSMUSG00000000751	1.04682166915414
3	ENSMUSG00000000753	1.72917353132192
4	ENSMUSG00000000759	-0.185864980478979
9	ENSMUSG00000000766	1.54590627002985
9	ENSMUSG00000000776	-1.39180213695014
7	ENSMUSG00000000782	0.227910704096889
8	ENSMUSG00000000787	-0.271735433091394
1	ENSMUSG00000000791	-0.585344861859264
7	ENSMUSG00000000792	0.156473266370356
2	ENSMUSG00000000794	-0.317645231304219
3	ENSMUSG00000000804	-0.911995159855118
10	ENSMUSG00000000805	3.63348221112615
8	ENSMUSG00000000811	-0.226184064569433
8	ENSMUSG00000000817	-0.951857923792658
6	ENSMUSG00000000823	-0.689793044237922
1	ENSMUSG00000000826	-0.201806594830981
1	ENSMUSG00000000827	0.663435527152857
10	ENSMUSG00000000838	0.399494606508163
10	ENSMUSG00000000861	-0.757511959376632
2	ENSMUSG00000000876	1.27360729280712
8	ENSMUSG00000000881	-0.738663207884783
6	ENSMUSG00000000884	-0.498759069155181
5	ENSMUSG00000000901	-0.572456730208352
5	ENSMUSG00000000902	0.655685114542364
2	ENSMUSG00000000915	0.182117067117128
