human train/human test,mouse train/human test,mouse train/mouse test,human train/mouse test
0.673716824432342,0.643251739098632,0.614596551718825,0.584431253145768
0.670078130044703,0.647500465738671,0.609897974734826,0.546619892848113
0.699567287890091,0.657075023436639,0.598364392589802,0.550344236967278
0.635296663443069,0.621754018027264,0.599060374296562,0.569324607751418
0.682011779099422,0.657389688531514,0.6007499475893,0.548737403202805
0.693563465344737,0.652568300833917,0.655396342008059,0.598422050758639
0.656994295407034,0.64922395707079,0.627101493458162,0.558107692320802
0.672022133452361,0.655082063085647,0.603420721657663,0.551519071316967
0.675639598644098,0.651333964299825,0.615050945164776,0.570100025996599
0.671517945725256,0.638266459185537,0.612418835074301,0.555824290633458
