BC3MS,BEeM,Saluki human,BC3MSD mouse,Saluki mouse
0.673716824432342,0.776160537470687,0.7830071,0.614596551718825,0.7377259
0.670078130044703,0.776464726726784,0.7837705,0.609897974734826,0.7410566
0.699567287890091,0.77830944355361,0.7870404,0.598364392589802,0.7244405
0.635296663443069,0.767121667422453,0.7346236,0.599060374296562,0.7236191
0.682011779099422,0.748941667886045,0.7807139,0.6007499475893,0.7196615
0.693563465344737,0.765163247225974,0.7775869,0.655396342008059,0.7450399
0.656994295407034,0.770342069357331,0.7666451,0.627101493458162,0.7359199
0.672022133452361,0.77569410641493,0.7766784,0.603420721657663,0.7327611
0.675639598644098,0.758897211458665,0.7603674,0.615050945164776,0.7238828
0.671517945725256,0.763588581325803,0.7759681,0.612418835074301,0.7352646
